wav_path	low-high	m-f	clear-hoarse	calm-restless	powerful-weak	youthful-aged	thick-thin	firm-relaxed	dark-bright	cold-warm
LibriTTS_R/train-clean-360/22/121140/22_121140_000011_000004.wav	3-5-6-3	5-5-6-5	4-4-2-4	3-3-1-3	3-4-4-3	4-4-4-4	5-5-3-5	3-3-3-3	4-3-3-4	4-3-4-4
LibriTTS_R/train-other-500/92/6488/92_6488_000063_000002.wav	4-6-4-5	6-7-7-7	2-2-2-1	4-3-5-4	5-4-4-5	3-2-2-2	6-5-4-6	3-3-4-5	3-3-3-6	3-3-4-3
LibriTTS_R/train-clean-360/122/121729/122_121729_000028_000002.wav	3-3-4-2	3-3-2-1	6-4-2-5	4-4-5-4	5-4-4-5	3-4-3-3	6-4-4-3	5-5-4-5	3-3-3-3	4-4-4-4
LibriTTS_R/train-clean-360/216/122441/216_122441_000031_000002.wav	2-2-3-2	1-3-2-1	3-5-3-4	2-3-4-6	3-3-4-2	6-5-5-3	2-2-3-2	2-4-4-2	4-4-4-2	3-5-4-4
LibriTTS_R/train-clean-100/250/142286/250_142286_000045_000001.wav	6-6-5-6	6-6-6-7	4-3-2-2	5-5-6-4	3-5-4-3	3-6-4-4	5-5-4-5	2-4-4-3	3-5-3-5	4-4-4-3
LibriTTS_R/train-other-500/277/127368/277_127368_000116_000000.wav	6-5-4-6	6-4-6-7	4-3-5-3	6-4-7-3	3-3-4-3	2-4-4-4	4-4-4-5	3-2-4-2	6-6-4-6	5-5-4-5
LibriTTS_R/train-other-500/283/130638/283_130638_000051_000002.wav	2-2-4-2	2-2-2-1	3-5-2-2	2-2-4-2	4-3-4-3	5-5-6-5	3-2-4-2	3-4-4-4	4-5-5-3	5-6-4-3
LibriTTS_R/train-clean-360/362/123013/362_123013_000018_000002.wav	5-5-5-6	5-5-6-4	4-5-4-4	7-5-7-6	3-3-4-3	5-4-4-5	5-4-4-4	3-2-4-2	3-3-2-6	4-4-4-2
LibriTTS_R/train-other-500/470/127690/470_127690_000008_000006.wav	2-2-4-2	1-3-2-1	3-4-5-5	5-3-5-2	4-4-4-5	3-4-4-5	3-3-4-2	3-3-4-2	4-4-3-3	3-5-4-2
LibriTTS_R/train-clean-360/667/158816/667_158816_000003_000000.wav	5-3-6-3	6-5-6-7	5-5-2-4	6-5-5-3	4-3-4-4	3-5-4-4	4-3-3-3	3-3-4-3	3-4-4-4	3-4-4-5
LibriTTS_R/train-other-500/792/127528/792_127528_000040_000002.wav	4-4-4-4	4-4-4-4	5-3-5-3	3-4-4-2	3-5-4-2	4-4-4-4	3-3-3-3	3-5-4-3	5-4-4-4	5-4-4-5
LibriTTS_R/train-other-500/797/127183/797_127183_000017_000000.wav	3-5-5-2	3-3-4-1	4-4-4-4	4-4-4-3	5-4-5-4	3-4-2-2	5-5-4-2	5-5-4-4	4-3-4-3	4-4-4-5
LibriTTS_R/train-clean-360/56/1733/56_1733_000018_000002.wav	5-4-5-5	6-6-6-4	4-3-5-3	4-4-4-5	4-4-5-4	3-3-3-3	5-4-4-3	4-4-5-5	4-4-4-4	4-5-4-5
LibriTTS_R/train-other-500/107/22887/107_22887_000026_000001.wav	2-3-5-1	2-3-2-1	5-5-5-6	5-4-5-2	5-4-5-5	4-5-4-5	4-3-4-2	5-4-5-5	3-5-3-2	4-5-5-4
LibriTTS_R/train-other-500/123/26848/123_26848_000060_000000.wav	4-5-5-4	5-5-5-4	5-5-6-5	4-5-3-2	5-5-5-3	6-5-7-4	4-5-3-3	4-5-4-3	2-3-4-3	4-5-3-5
LibriTTS_R/train-clean-360/227/129974/227_129974_000004_000003.wav	4-4-4-4	5-5-4-6	4-2-4-3	5-6-5-3	4-4-4-3	3-3-4-3	3-3-3-3	4-5-5-3	5-3-4-3	5-3-4-5
LibriTTS_R/train-clean-360/337/123033/337_123033_000006_000004.wav	6-6-6-5	7-6-6-6	2-2-5-3	5-5-4-2	4-4-5-3	2-4-2-3	6-5-4-5	3-5-5-3	5-4-3-5	4-6-5-5
LibriTTS_R/train-other-500/428/125879/428_125879_000017_000000.wav	1-2-5-2	1-2-3-1	7-6-6-6	3-4-2-2	7-7-6-6	7-6-6-6	5-5-3-2	7-6-7-6	2-2-2-3	5-4-4-5
LibriTTS_R/train-other-500/542/125348/542_125348_000033_000000.wav	5-5-5-3	2-3-2-1	2-2-3-3	6-6-5-3	4-2-4-3	3-3-3-3	5-5-5-2	3-2-3-2	7-5-5-5	6-5-4-5
LibriTTS_R/train-clean-360/576/129623/576_129623_000037_000004.wav	5-5-4-4	7-5-4-5	2-3-5-2	3-3-4-2	4-3-5-4	3-4-4-3	4-4-4-5	2-3-4-2	6-4-4-6	5-3-4-5
LibriTTS_R/train-clean-100/831/130746/831_130746_000015_000001.wav	1-2-1-2	1-2-2-1	3-4-3-6	3-4-4-2	4-3-4-3	5-4-5-5	1-4-2-2	3-3-3-2	6-5-6-4	6-5-5-6
LibriTTS_R/train-other-500/960/125241/960_125241_000002_000000.wav	7-5-5-6	7-6-5-4	2-2-3-1	6-5-5-5	3-3-3-3	2-3-3-2	6-5-4-6	3-2-3-4	5-4-4-6	4-3-3-2
LibriTTS_R/train-clean-360/1054/143005/1054_143005_000058_000002.wav	5-5-4-6	6-5-6-5	5-3-4-3	6-4-5-6	4-4-4-4	4-4-4-3	4-4-4-4	3-4-4-5	5-4-4-5	4-4-3-3
LibriTTS_R/train-other-500/1097/136912/1097_136912_000018_000000.wav	3-5-2-3	4-4-4-4	6-4-5-6	5-4-3-2	7-5-4-6	4-4-5-5	6-5-2-5	7-5-5-6	5-4-4-2	5-3-3-4
LibriTTS_R/train-other-500/1110/136055/1110_136055_000000_000003.wav	2-2-2-2	1-2-2-1	4-5-4-5	6-4-4-2	1-4-3-3	4-5-5-5	1-3-3-2	2-4-3-2	3-4-5-2	2-5-5-5
LibriTTS_R/train-clean-360/1121/135824/1121_135824_000011_000006.wav	5-6-5-4	3-3-2-2	4-3-3-5	5-5-5-5	4-3-3-4	3-4-4-3	4-4-4-3	2-2-3-2	6-5-5-6	6-4-5-6
LibriTTS_R/train-other-500/1166/136562/1166_136562_000089_000001.wav	5-3-5-4	5-4-5-4	5-4-4-3	4-5-5-5	2-3-4-3	5-4-4-4	3-3-4-3	3-2-3-4	4-5-5-4	3-5-4-5
LibriTTS_R/train-clean-360/1289/288043/1289_288043_000024_000001.wav	4-3-5-3	6-5-5-4	6-5-4-3	3-5-4-3	4-5-5-4	4-5-4-5	5-4-4-3	4-4-5-4	5-3-4-3	5-4-3-3
LibriTTS_R/train-clean-360/1335/163935/1335_163935_000013_000003.wav	5-5-5-5	6-6-5-6	4-3-3-2	3-4-4-3	4-4-4-5	3-2-2-3	4-4-4-5	5-3-4-6	3-4-3-6	4-4-5-4
